abaissé;descendu
conducteurs;motards
conduira;dirigera
conduire;diriger
conduisait;arrivait
conduisant;entrainant
conduisent;provoquent
conduit;aboutit
conduites;suivies
conduits;retenus
confection;manufacture
confédéral;patronal
confédérations;ligues
confer;infra
confère;attribue
conférence;causerie
conférences;expositions
conférencier;accompagnateur
conférer;donner
confesser;abjurer
confession;juive
confessions;religieuses
confetti;serpentin
confiait;notait
confiant;prudent
confiants;satisfaits
confidence;entrevue
confidences;secrettes
confidentiel;exceptionnel
confidentielle;exclusive
confie;assure
confié;appris
confiée;incombait
confiées;transmises
confier;attribuer
configuration;interface
confiner;limiter
confins;royaumes
confirmait;signalait
confirmant;soulignant
confirmation;certitude
confirme;rassure
confirment;corroborent
confirmer;prouver
confirmés;aguerris
confiscation;suppression
confiserie;chocolatier
confisquer;emparer
confit;citron
confiture;tartine
conflit;antagonisme
conflits;guerres
confond;parle
confondre;stigmatiser
confondues;divergentes
confondus;comparables
conformation;structurelle
conforme;correspondait
conformément;respectant
conformer;plier
conformes;exigences
conformité;certification
confort;raffinement
confortable;douillet
confortables;luxueuses
conforter;rehausser
confrère;collaborateur
confrères;homologues
confrontation;perspective
confronté;retrouve
confrontée;impuissante
confrontées;sujettes
confronter;amener
confrontés;retrouvent
confus;ambigu
confuse;hasardeuse
confusion;suspicion
congé;licenciement
congélateur;frigot
congeler;portionner
congénère;fauve
congés;vacances
conglomérat;multinationale
congratulations;flagorneries
congratuler;vilipender
congressistes;militants
conifère;rhododendron
conifères;pruches
conjecture;affirmation
conjecturer;extrapoler
conjointe;formelle
conjointement;partenariat
conjoints;remariages
conjonctif;carotidien
conjonction;synergie
conjoncture;morose
conjugal;sexuel
conjuguer;articuler
conjuration;complots
conjuré;vaincu
conjurer;vaincre
connais;dirai
connaissais;doutais
connaissait;voyait
connaissance;maitrise
connaissances;aptitudes
connaissant;doutant
connaissent;comprendront
connaisseur;aguerri
connaisseuse;friande
connaissons;parlons
connaît;souvient
connaîtra;marquera
connaître;cerner
connard;salopard
connasse;merdeuse
conne;abrutie
connerie;blague
connivence;copinage
connotation;terminologie
connu;souffert
connue;apparue
connus;apparus
connut;suscita
conquérant;dominateur
conquérir;coloniser
conquête;croisade
conquis;envahi
consacrait;participait
consacrant;organisant
consacre;travaille
consacrées;relatives
consacrent;investissent
consacrer;recentrer
consacrera;publiera
consacrés;parus
consciencieux;diligents
conscient;incapable
consciente;clairvoyante
conscients;capables
consécration;victoire
consécutif;dernier
consécution;dissimilitude
consécutive;annuelle
consécutives;majeures
conseil;cabinet
conseille;recommandera
conseiller;expert
conseiller juridique;instructionnelle
conseillers;techniciens
conseilleur;lobbyiste
conseils;recommandations
consensuelle;novatrice
consensus;molder
consentement;refus
consentir;accepter
consentis;accomplis
conséquence;corollaire
conséquences;repercussions
conséquent;puisque
conservant;optimisant
conservateur;cosgard
conservateurs;socialistes
conservation;patrimone
conservatrice;traditionaliste
conserve;retire
conservé;intact
conservée;intacte
conservent;donnent
conserver;placer
considérable;minime
considérablement;accru
considérables;significatives
considérait;admettait
considérant;remarquant
considération;prise
considérations;remarques
considère;qualifie
considéré;comme
considérée;admise
considérées;admises
considèrent;admettent
considérer;ignorer
considérés;devenus
consignations;soultes
consigne;respecter
consignes;injonctions
consistait;proposait
consistance;apparence
consistant;permet
consiste;visant
consisté;visant
consœur;copine
consolation;compassion
consoler;lamenter
consolidation;renforcement
consolider;raffermir
consommateur;usager
consommatrice;paresseuse
consomme;gaspille
consommer;gaspiller
conspirateur;carbonaro
constamment;permanence
constance;modestie
constant;significatif
constante;forte
constantes;fondamentales
constants;permanents
constat;raisonnement
constatait;expliquait
constatant;observant
constatation;comparaison
constate;rappelle
constatée;imputable
constatées;survenues
constatent;affirment
constater;observer
constats;raisonnements
consternation;effarement
consterner;affliger
constipation;gastrite
constiper;revomi
constituait;apparaissait
constituant;forment
constituante;tunisienne
constitue;inclut
constitué;compose
constituée;pourvue
constituent;fournissent
constituer;servir
constituera;formeront
constitutif;intentionnel
constitutionnelle;monarchique
constitutionnelles;juridiques
constitutionnels;normatifs
constructeur;manufacturier
constructeurs;pneumaticiens
construction;chantier
constructions;architectures
constructive;pragmatique
construire;fabriquer
construisent;transforment
consultant;commentateur
consultants;manageurs
consultatif;gouvernemental
consultation;discussion
consultations;demandes
consulter;invitons
contact;relation
contacter;joindre
contacts;rapports
contagieux;mortel
contagion;psychose
contaminateur;plasmodium
contaminer;infectant
conte;apologue
contempler;admirant
contemporain;postmoderne
contemporaine;architecturale
contemporaines;architecturales
contemporains;orientaux
contenait;renfermant
contenance;millilitres
contenant;renferment
conteneurs;tonnages
contenir;produire
content;impatient
contentant;voulant
contente;plaise
contenté;parvenu
contentement;plaisir
contentent;veulent
contenter;rabattre
contentieux;processuel
contents;fiers
contenu;textuel
contenue;reproduite
contenues;relatives
contenus;formatifs
conter;romancer
contes;apologues
contestataire;gauchiste
contestataires;opposants
contestation;dissidence
conteste;rappelle
contestent;soutiennent
contester;opposer
contexte;situation
contiennent;fournissent
contient;renferment
continental;mondial
continentale;chinoise
continents;peuples
contingences;vicissitudes
contingent;renfort
continu;permanence
continuait;cessaient
continuateur;penseur
continue;cesse
continué;repris
continuel;incessante
continuellement;permanence
continuent;doivent
continuer;reprendre
continuera;pourra
continuerait;allait
continueront;devraient
continuité;logique
contorsion;acrobaties
contour;hachurer
contourner;affranchir
contours;angles
contractée;affaiblie
contracter;distendre
contraction;recession
contradiction;discordance
contradictions;apories
contradictoire;absurde
contradictoires;disparates
contraignant;suffisant
contraignante;dissuasive
contraignantes;coercitives
contraindre;obligeant
contraint;renoncer
contrainte;exigence
contraintes;limites
contraints;refusent
contraire;justement
contraires;identiques
contralto;soprani
contrariant;enquiquinant
contrarié;maladroit
contrarier;freiner
contrariété;frayeur
contraste;chromatisme
contraster;juxtaposer
contrats;avenants
contravention;verbalisable
contre;combattre
contrebalancer;adoucir
contrebande;haschisch
contrecarrer;endiguer
contrecœur;docilement
contrecoup;provoquant
contredire;infirmer
contredit;prouve
contrée;environnante
contrefaçon;escroquerie
contrefait;frauduleux
contrepartie;revanche
contre-pied;subvertissant
contrepoids;ressorts
contrer;enrayer
contribuable;fraudeur
contribuables;fraudeurs
contribuant;favoriser
contribue;facilite
contribué;grandement
contribuent;apportent
contribuer;promouvoir
contribuera;aidera
contribution;significative
contributions;relectures
contrition;indulgence
contrôle;supervision
contrôlent;supervisent
contrôler;maitriser
contrôles;fichages
contrôleur;moniteur
contrôleurs;agents
controuvé;artificieux
controverse;dissension
controversé;virulent
controversée;douteuse
controverser;politiquer
controverses;disputes
convainc;rebute
convaincant;maladroit
convaincante;pertinente
convaincre;motiver
convaincu;crois
convaincue;satisfaite
convaincus;croyons
convalescence;malade
convenable;satisfaisante
convenait;semblait
convenir;arranger
convenir de;plair
convention;clause
conventionnel;naturel
conventionnelle;classique
conventionnelles;novatrices
conventionnels;classiques
conventions;accords
convenu;retenu
convenus;engageants
convergence;horizontalisation
conversation;causerie
conversations;plaisanteries
converser;interagir
conversion;purification
converti;repenti
convertibles;dilutives
convertir;transformer
conviction;passion
convictions;opinons
convié;assister
conviennent;accommoderont
convient;permet
convier;assister
convocation;lettre
convoi;cargaison
convois;transbordements
convoitise;tentation
convoitises;haines
convoquer;nommer
convoqués;retenus
convulser;agoniser
convulsion;spasme
coopératif;productif
coopération;partenariale
coopérations;partenariales
coopérative;familiale
coopératives;mutuelles
coopérer;communiquer
coordinateur;superviseur
coordination;synergie
coordonner;promouvoir
copain;fiston
copains;gosses
copie;attestation
copier;reproduire
copies;corrections
copieur;reprographie
copine;fille
copulatif;disjonctif
copyright;dauteur
coquillage;crabe
coquille;univalve
coran;versets
coranique;kouttab
corbeau;merle
corbeille;cageot
corde;garcette
cordes;guitarres
cordial;convivial
cordialité;sympathie
cordier;bonnetier
cordon;clampage
cordons;filaments
coréen;vietnamien
coréenne;nippone
coréens;japonais
coriace;teigneux
corne;sagaie
corneille;croasse
cornemuse;flute
cornes;buffle
corniche;plinthe
cornillon;fresne
cornu;buccin
corollaire;amenuisement
corporation;patronale
corporel;mental
corps;psychisme
corpulence;prestance
corpulent;fluet
corpus;texte
correct;suffisant
correctement;mieux
correction;retouche
correctionnelle;comparaitra
corrections;ajustements
corrélatif;accroissement
corrélationnel;conceptualisable
corrélé;comparable
correspond;exactement
correspondait;comprenait
correspondance;directe
correspondances;analogies
correspondant;conforme
correspondante;explicative
correspondants;internationaux
correspondent;concernent
correspondre;situer
corridor;adjacent
corrigées;relues
corriger;retoucher
corroborer;attester
corroder;inerter
corrompre;duper
corruption;favoritisme
corsage;tulle
corse;ajaccien
corses;basques
cortège;processionnel
coryza;chaton
cosmos;univers
cosse;condensateur
costard;futal
costaud;trapu
costume;manteau
costumes;robes
coteau;contrebas
cotée;filiale
cotées;investisseuses
côtelette;dinde
côtes;rivages
côtés;rangs
cotisation;forfaitaire
cotisations;salaires
côtoient;confondent
coton;viscose
cotonnade;plumetis
cotonnier;filateur
cottage;lakefront
couard;arrogant
couchant;admirant
couche;fausse
couché;debout
couche-culotte;gigoteuse
coucher;chambre
coucher de soleil;traitmaking
couches;superpositions
coucou;hello
coude;tibia
coudre;quilter
coudrier;groseiller
couenne;saucisson
couette;traversin
couiner;miauler
coule;ruisselle
coulée;fondue
couler;suinter
couleur;coloration
couleurs;colories
coulisse;pupitre
coulisser;pivote
coulisses;rouages
couloir;placard
couloirs;recoins
coup monté;condescendu
coupable;criminel
coupables;punis
coupant;enlevant
coupe;manche
coupé;fendu
coupée;fendue
coupées;fendues
couper;effiler
couperet;guillotine
coupes;elevations
coupés;fendus
couple;mariage
couples;conjoints
coupole;colonnade
coupon;rosedeal
coups;assauts
coupure;tension
coupures;fuites
cour de justice;magro
courage;audace
courageuse;clairvoyante
courageux;peureux
couramment;parfois
courant;continu
courante;habituelle
courantes;actuelles
courants;divers
courbe;logarithmique
courber;incurver
courbes;trajectoires
courent;crapahutent
coureur;triathlonien
coureurs;marathoniens
courge;carotte
courgette;aubergine
courir;promener
couronne;coiffe
couronné;soutenu
couronnes;barrettes
courrier;postale
courroie;biellette
courroucé;narquois
courroucer;consterner
courroux;indignation
cours;pendant
course;sprint
course de haies;recherchesalons
courses;promenades
coursier;destrier
court;moyen
courtage;brokers
courte;looooongue
courtes;fatiguantes
courtiser;fricoter
courtois;affables
courtoisie;galanterie
courts;percutants
cousin;cadet
cousine;fille
cousins;parents
coussin;tissu
coûte;coutait
coûté;couteraient
couteau;tranchant
couteaux;hachettes
coutelas;sabre
coûtent;valent
coûtera;paiera
coûterait;coute
coûteuse;contraignante
coûteuses;rentables
coûteux;prohibitif
coûts;profits
coutumes;ancestrales
coutumier;formel
couture;smocks
couturier;stylistes
couturière;blanchisseuse
couturiers;brodeurs
couvent;ermitage
couver;incuber
couvercle;gobelet
couvert;rempli
couvert de;menezesi
couverte;remplie
couvertes;blanches
couverts;assortis
couverture;pochette
couvertures;bouillottes
couvrant;incluant
couvre;concentre
couvre-chef;casque
couvre-feu;minuit
couvre-lit;plaid
couvrent;regroupent
couvre-pied;confirmat
couvrir;camoufler
crabe;poulpe
crachat;giclement
cracher;vomir
crachin;averse
crack;cannabis
craie;brique
craignaient;redoutent
craignait;regrettait
craignant;redoutaient
craignent;veulent
craindre;douter
crains;redoute
craint;redoutait
crainte;hantise
craintes;incertitudes
crampe;sciatique
crampon;chausson
cramponner;jucher
crâne;occiput
crâner;fringuer
crânerie;nonchalance
crâneur;fanfaron
crapule;raclure
craque;adooooooore
craquer;resister
craqueter;recouler
crasse;suinte
crasseux;pouilleux
cravache;gourdin
cravate;veste
crayon;surligneur
créance;dettes
créances;dette
créancières;investisseuses
créanciers;actionnaires
créant;installant
créateur;styliste
créateurs;artisans
création;refonte
créations;oeuvres
créativité;dynamisme
créatrice;entrepreneuse
créature;monstrueuse
crédibilité;confiance
crédible;efficace
crédibles;impartiales
crédit;bancaires
créditer;mentionner
crédits;budgets
credo;pragmatisme
crédule;cynique
crédulité;mystification
créée;construite
créées;produites
créent;introduisent
créer;transformer
créés;apparus
crémant;cidre
crémation;enterrement
crème;pommade
crème glacée;citronnette
crémerie;devanture
créneau;monter
créole;malgache
crêpe;mousseline
crépi;plafonnage
crépir;enduire
crépiter;vrombir
crépu;frisotis
crépus;cheveux
crépuscule;brouillard
cresson;brocoli
crête;plaine
crétin;neuneu
creuse;enfonce
creusé;enfoui
creuser;fouiller
creux;ventre
crevasse;paroi
crevasser;carier
crève-cœur;fatal
crever;foutre
criant;gesticulant
crible;peigne
cribler;disperser
cricket;snooker
crient;beuglent
crier;pleurer
crime;meurtres
crimes;meutres
criminalité;banditisme
criminel;voyou
criminelle;maffieuse
criminelles;immorales
criminels;trafiquants
crinière;moustache
crique;rocheuse
crise;situation
crises;paniques
crispation;raidissement
crisper;recroqueviller
crisser;pognent
cristal;quartz
cristallin;translucide
cristallographie;microscopie
cristaux;saphirs
critère;choix
critères;principes
critique;analyse
critiquent;condamnent
critiquer;caricaturer
critiques;sarcasmes
croc-en-jambe;pirouetter
croche-pied;mariole
crochet;amigurumi
crocheteur;vernisseur
crocodile;singe
croient;veulent
croirait;parle
croire;mentir
crois;reconnais
croisade;invasion
croise;retrouve
croisé;parcouru
croisées;directes
croisement;jonction
croisent;confrontent
croiser;cotoyer
croisés;bleus
croisière;excursion
croissance;stagnation
croissant;afflux
croissante;significative
croit;pensait
croître;diminuer
croix;crucifixion
croquer;boulotter
croquette;proplan
croquis;dessiner
crotte;gougoutte
crotté;fourbu
crotter;bouloter
crottes;pipis
croupe;saillit
croûte;garniture
croyaient;crurent
croyait;voulait
croyance;conviction
croyances;dogmes
croyant;doutant
croyants;fondamentalistes
croyez;pensiez
croyons;comprenons
cruauté;sadisme
cruche;bouteille
crucial;enjeu
cruciale;primordial
crucifix;croix
crudité;noirceur
cruel;sadique
cruelle;humiliante
cruellement;manquait
crûment;ambage
cubain;colombien
cubains;argentins
cuber;piqueter
cubes;rectangles
cubitus;femur
cueillir;moissonner
cuirassiers;spahis
cuire;bouillir
cuisine;culinaire
cuisiner;mitonner
cuisines;toilettes
cuisinier;pizzaiolo
cuisinière;gouvernante
cuisiniers;barmans
cuisse;jambre
cuisses;molets
cuistot;saucier
cuite;porcelaine
cuiter;baffrer
cuivre;cobalt
cuivré;marron
cuivreux;alliages
cuivrique;chromyle
culier;trant
culinaire;gustative
culminant;marquant
culot;courage
culotte;gainante
culottes;pantalons
culpabilité;trahison
culte;sanctuaire
cultivateur;paysan
cultivatrice;ramasseuse
cultive;enracine
cultiver;fructifier
culture;gastronomie
culturel;patrimonial
culturelle;sociale
culturelles;musicales
culturels;associatifs
cultures;philosophies
cumul;fractionnement
cumulé;comptabilisant
cupide;mesquin
cupidité;arrogance
curatif;preventif
curer;peigner
curie;cardinaux
curieuse;fascinante
curieusement;souvent
curieux;surprenant
curiosité;passion
cursus;parcours
cuveau;futaille
cuvette;bassine
cyclamen;gaura
cycle;cursus
cycles;menstruels
cyclisme;natation
cycliste;sprinteur
cyclistes;joggers
cygne;faucon
cylindre;culasse
cynégétique;chasseurs
cynique;cupide
cynisme;hypocrisie
dactylographie;photocomposition
dague;armure
dahlia;hortensia
daigner;puisser
dallai;regagnais
dallas;atlanta
dalle;toiture
daller;sapprocher
daltonisme;achromates
damas;taffetas
dame de pique;bouffonerie
dandy;playboy
danger;risques
dangereuse;malsaine
dangereuses;fatales
dangereux;nuisible
dangers;nocifs
danois;scandinave
danoise;allemande
dans erreur;utillisation
danse;ballet
dansent;voltigent
danser;guincher
danses;gigues
danseur;violoniste
danseurs;choristes
darder;fourer
datant;remonte
datas;petabytes
datée;manuscrite
datées;connues
datent;prouvent
dater;reconstituer
dates;affectations
datif;proclitique
dattier;palmeraies
dauphin;monarque
davantage;significativement
deale;tapine
dealers;truands
débâcle;tourmente
débander;haleter
débarbouiller;peinturlurer
débarcadère;terminus
débardeur;legging
débarque;rentre
débarqué;atterri
débarquement;plageage
débarquer;accoster
débarras;cagibi
débarrasser;extirper
débat;questionnement
débats;houleux
débattre;disserter
débattu;longuement
débauchage;licenciement
débauche;ivresse
débauché;rustre
débaucher;lourder
débile;abruti
débiliter;antagoniser
débiner;pleurnicher
débiter;balancer
débiteur;cessionnaire
débiteurs;insolvables
débitrice;venderesse
déboires;tracas
déboîter;embrocher
débonnaire;gouailleur
déborde;gonfle
débordement;surverse
débordements;chahuts
déborder;bouillonner
débouchant;menant
débouche;prolonge
débouché;prolongement
déboucher;amener
débouchés;attractifs
débourser;modique
debout;assise
débrayage;desserrage
débrayages;syndicats
débrayer;syndicaliser
débris;cadavres
débrouillard;simplet
débrouiller;comprendre
début;commencement
début de;bondien
débutant;aguerri
débutants;aguerris
débute;terminera
débuts;fulgurants
décacheté;griffonnait
décacheter;dactylographier
décade;seconde
décadence;splendeur
décalage;changement
décamper;carapater
décapiter;crucifier
décathlon;olympique
décédé;meurt
décéder;meurt
décelant;trahissant
déceler;comprendre
décence;rigueur
décennie;soixante
décennies;longtemps
décent;vivable
décentralisation;gouvernance
décentralisée;institutionnelle
déception;lassitude
décerner;octroyer
décès;naissances
décevant;frustrant
décevoir;effrayer
déchaînement;violence
déchaîner;embraser
décharge;batterie
décharger;transporter
décharné;inexpressif
déchausser;contorsionner
dèche;merde
déchet;rebuts
déchets;ordures
déchiffrer;decrypter
déchiqueter;mutiler
déchiré;meurtri
déchirer;plier
déchoir;perdre
déchu;usurpateur
décida;parvint
décidait;allait
décidant;ordonnant
décide;renonce
décidé;choisi
décidée;intervenue
décidées;intervenues
décidément;certes
décident;veulent
décider;demander
décidera;tranchera
décidés;parvenus
décideurs;responsables
décimer;trucider
décisif;cruciaux
décision;sentence
décisions;mesures
décisive;significative
déclamation;scansion
déclamer;scander
déclarait;affirma
déclarant;avouant
déclarations;promesses
déclare;souligne
déclaré;affirmait
déclarée;promue
déclarent;disent
déclarer;demander
déclarés;reconnus
déclenche;provoquant
déclenchée;interrompue
déclencher;susciter
déclin;inexorable
décline;diversifie
décliner;associer
déclive;dorsiflexion
déclivité;pentes
décollage;avion
décollé;atterrir
décoller;envoler
décoloré;jaunissant
décolorer;noircir
décombres;cadavres
décomposer;reconstituer
décomposition;dispersion
déconcerté;abasourdi
déconcerter;fasciner
déconner;chier
déconsidérer;disqualifier
décontenancer;captiver
décontracter;tonifier
déconvenue;frayeur
décor;architectural
décorateur;architecte
décoratif;architectural
décoratifs;sculpturaux
décoration;mobilier
décoré;entretenu
décorer;customiser
décors;reliefs
décortiquer;scruter
décote;revalorisation
découle;provient
découler;survenir
découpage;recollage
découper;portionner
découragement;ennui
décourager;freiner
découvert;appris
découverte;surprenante
découvertes;escapades
découverts;connus
découvrait;sortait
découvrant;apprenant
découvre;constate
découvrent;observent
découvrir;connaitre
découvrira;rencontrera
décret;promulgation
décrète;exige
décrété;aboli
décrétée;abolie
décréter;exiger
décri;inven
décrier;accabler
décrire;cerner
décrit;relate
décrocher;rafler
décroître;amenuiser
déçue;ravie
déçus;satisfaits
dédaigner;accabler
dédaigneusement;volontiers
dédaigneux;orgueilleux
dédain;cynisme
dédicacer;chroniquer
dédié;exclusivement
dédier;consacrera
dédire;consentirai
dédommagement;indemnisant
dédommager;indemniserait
déduire;imputer
défaillance;avarie
défaillances;anomalies
défaillir;craquer
défait;renverse
défaite;humiliante
défaites;confrontations
défaut;souci
défauts;tares
défaveur;plaidant
défavorable;pessimiste
défavorisées;pauvres
défavorisés;indigents
défection;dissidence
défectueux;dysfonctionnement
défectuosité;endommagement
défend;oppose
défendait;opposait
défendant;critiquant
défendent;attaquent
défendre;battre
défendu;combattu
défendue;combattue
défense;protection
défenses;murailles
défenseur;dribleur
défenseurs;opposants
défensive;adverse
déférence;sollicitude
déférent;oscule
déferlement;vague
défiance;lassitude
défiant;brisant
déficeler;brocheur
déficience;malentendance
déficit;accroissement
déficitaire;instable
déficitaires;catastrophiques
déficits;dettes
défier;narguer
défigurer;maltraiter
défilé;carnaval
défilent;bougent
défiler;tourner
défilés;looks
définir;cerner
définissant;fixant
définissent;structurent
définit;distingue
définitif;officiel
définitifs;complets
définition;typologie
définitive;partielle
définitives;nettes
défis;relever
déflorer;devoiler
défoncer;juter
déformé;noirci
déformer;gauchir
défraîchir;disproportionner
défunt;cercueil
défunte;soeur
dégage;distingue
dégagé;ouvert
dégagée;reposante
dégagent;rapprochent
dégager;concentrer
dégaine;renfile
dégarni;hirsute
dégâts;domages
dégauchir;rainurer
dégauchissage;bouvetage
dégauchisseuse;varlope
dégel;englacement
dégénérer;exacerber
dégoter;procurer
dégouliner;juter
dégourdi;peureux
dégoût;malaise
dégoûtant;choquant
dégoûté par;abasourdissant
dégoûter;bousiller
dégoutter;insupporter
dégradation;appauvrissement
dégrader;pourrir
degré;grade
degrés;celcius
dégringoler;remonter
dégriser;charbonner
dégueu;moche
dégueulasse;horrible
dégueulasser;bouffer
déguiser;maquiller
déguisés;rigolos
déguster;gouter
dehors;rentre
déjeuner;copieux
délai;imparti
délais;retards
délaissé;disparu
délaisser;cantonner
délassement;distraction
délateur;fraudeur
délation;fliquage
délayé;bouillon
délectation;voluptueusement
délecter;contempler
délégation;ambassade
délégations;instances
délégué;coordinateur
déléguée;directrice
délégués;coordinateurs
délibération;municipal
délibéré;verdict
délibérer;convoquer
délicat;important
délicate;fragile
délicates;gracieuses
délicatesse;candeur
délicats;fragiles
délice;plaisir
délices;merveilles
délicieux;fabuleux
délié;affermi
déliement;surcodage
délier;nouer
délinéament;lavision
délinquance;toxicomanie
délinquant;toxicomane
délinquante;gamine
délinquants;voyoux
délirant;jouissif
délire;fantasme
délirer;fantasmer
délit;punissable
délits;recels
délivrance;attestation
délivre;distillant
délivré;transmis
délivrée;transmise
délivrer;donner
délivrés;obtenus
déloyal;frauduleux
déloyauté;collusion
delta;upsilon
déluge;tonnerre
démagogie;politicaillerie
demain;aujourd
demanda;indiqua
demandait;pensait
demandant;disant
demande;proposition
demandé;voulu
demandée;fournie
demandent;obtiennent
demander;refuser
demandera;forcera
demanderesse;recourants
demandes;objections
demandés;justifs
demandeur;allocataire
demandons;pensons
démangeaison;irritative
démanger;frotter
démantèlement;privatisation
démanteler;saboter
démarcation;ligne
démarche;conception
démarches;actions
démarrage;lancement
démarre;enclenche
démarrer;amorcer
démasquer;camoufler
démêlés;conflits
déménager;habiter
démence;maladie
dément;contredit
démenti;contredit
démentie;contredite
démentiel;dingue
démentir;infirmer
démerder;bosser
démesuré;monstrueux
démette;renonce
démettre;renoncer
demeurait;tenait
demeurant;quoique
demeure;constitue
demeurée;intacte
demeurent;semblent
demeurer;restant
demi-cercle;ovale
demi-droite;bipoint
demie;quinzaine
demi-lune;octogonale
demi-pension;surclassement
démission;limogeage
démissionne;renonce
démissionner;limoger
démissions;limogeages
demi-tour;descendre
démocrate;socialiste
démocrates;centristes
démocratie;dictature
démocraties;institutions
démocratique;pluripartite
démocratiquement;gouverner
démocratiques;progressistes
démocratiser;promouvoir
démodé;ennuyeux
démodés;ringard
démographique;urbanisation
démographiques;populationnelles
demoiselle;blondine
démolir;dynamiter
démolition;dynamitage
démon;satan
démoniaque;ectoplasmique
démons;sorciers
démonstratif;maladroit
démonstration;convaincante
démonter;nettoyer
démontre;affirme
démontré;prouver
démontrent;prouve
démontrer;souligner
démoraliser;effrayer
démunis;nantis
dénaturer;pervertir
dénégation;implicite
déniaiser;moquer
dénichant;fouinant
dénicher;fouiner
dénier;contester
dénigrer;insulter
dénombre;compterait
dénombrer;quantifier
dénomination;sigle
dénommé;appelait
dénommer;baptiser
dénonçait;soulignait
dénonce;accuse
dénoncée;poursuivie
dénoncées;combattues
dénoncent;insurgent
dénoncer;critiquer
dénoncés;poursuivis
dénonciation;calomnieuse
dénoter;souligner
dénouement;suspens
dénouer;resserrer
denrée;invendue
denrées;subsistances
denrées alimentaires;boisettes
dense;touffue
densité;volumique
dentelé;losangique
dentier;quenotte
dentiste;radiologue
dents;incisives
dénuement;solitude
déontologie;charte
dépannage;serrurerie
dépanner;reparer
dépanneur;reparateur
départ;point
départemental;municipal
départementale;communale
départementaux;territoriaux
départements;provinces
départir;dessaisir
départs;recrutements
dépassait;atteignaient
dépassant;atteignant
dépasse;limite
dépassé;franchi
dépassée;amoindrie
dépassées;insuffisantes
dépassement;limites
dépassements;honoraires
dépassent;touchent
dépasser;doubler
dépassera;diminuera
dépassés;atteints
dépêche;rapporte
dépêché;accouru
dépêcher;demander
dépêchés;intervenus
dépeindre;raconter
dépeint;illustre
dépénalisation;avortement
dépend;varie
dépendait;fournissait
dépendance;emprise
dépendant;administrativement
dépendent;affectent
dépendra;passera
dépendre de;variabiliser
dépens;rentes
dépense;budget
dépensé;investi
dépenser;payer
dépenses;dotations
dépérir;faner
dépeupler;recoloniser
dépistage;vaccination
dépister;traquer
déplace;chevauche
déplacé;agrandi
déplacées;venues
déplacement;passage
déplacements;voyages
déplacer;balader
déplaire;effrayer
déplaisant;ennuyeux
déplaisir;ravissement
déplait;rebute
déplanter;marcotter
déplier;refermer
déploiement;dispositif
déplorable;affligeant
déplore;insiste
déploré;regrettant
déplorent;fustigent
déplorer;constater
déployer;mobiliser
déployés;soutenus
déplumé;pigeonneau
déportée;survivante
déporter;expulser
dépose;remet
déposé;remis
déposée;transmise
déposer;envoyer
dépositaire;intransmissible
déposition;plainte
déposséder;arracher
dépôt;versement
dépôts;paquets
dépouillement;recomptage
dépouiller;confisquer
dépouilles;carcasses
dépourvu;prenant
dépourvue;recouverte
dépravation;turpitude
dépravé;malsain
dépraver;oppresser
dépréciatif;psychologisant
déprécier;rabaisser
dépression;alcoolisme
déprimer;criser
dépuceler;sodomiser
depuis;durant
dépurer;tonifier
député;politicien
déraciner;abattre
dérailler;gripper
déraison;inconscience
déraisonnable;illogique
dérange;choquerai
dérangé;perturbant
déranger;choquer
dérapage;emballement
dérapages;laxismes
déraper;freiner
dérégler;bousculer
dérider;rabibocher
dérision;provocation
dérisoire;exorbitante
dérisoires;minables
dérive;gauchisation
dérivé;usuel
dériver;basculer
dérives;collusions
dérivés;usuels
dernier;second
dernier lieu;doncle
dernière;nouvelle
dernièrement;reprises
dernières;quelques
derniers;jours
dérobée;cachette
dérober;arracher
dérogation;demande
dérogations;restrictives
déroule;organise
déroulé;intervenu
déroulée;retransmise
déroulées;survenues
déroulement;cadre
déroulent;organisent
dérouler;passer
déroulera;situera
déroulés;faits
déroute;calamiteuse
derrière;cachent
désabusé;taciturne
désabuser;persuader
désaccord;conflit
désaccords;disputes
désaffection;apathie
désagréable;incommodante
désagréger;effondrer
désagrément;tracas
désaltérer;rassasier
désamorcer;apaiser
désapprobateur;moqueur
désapprobation;antipathie
désapprouvant;rejetant
désapprouver;condamner
désargenté;aristocrate
désarmement;militarisation
désarmer;abattre
désarroi;tristesse
désastre;chaos
désastreux;lamentable
désavantageux;humiliant
désaveu;refus
désavoué;trahi
désavouer;renier
descendance;consanguine
descendant;agnatique
descendants;agnatiques
descendent;glissent
descendre;chuter
descente;chute
description;succincte
désenchantement;cynisme
désenchanter;destructurer
désengagement;abandon
désengorger;desservir
déséquilibré;dysfonctionnel
déséquilibres;disfonctionnements
déserte;perdue
déserté;disparu
désertique;arides
déserts;canyons
désespérance;angoisse
désespérant;triste
désespère;parviens
désespéré;inquiet
désespérée;suicidaire
désespérément;cherche
désespérer;craindre
désespoir;tourment
déshabiller;masturber
déshonneur;malheur
déshonorant;indigne
déshonorer;calomnier
design;style
désignation;terminologie
désigne;nomme
désigné;choisi
désignée;reconnue
désigner;qualifier
désignés;retenus
désillusionner;controverser
désintégrer;imploser
désintéressé;bienveillant
désintéresser;ignorer
désintérêt;lassitude
désinvolte;nonchalance
désinvolture;modestie
désir;ressentiment
désirait;envisageait
désirant;souhaiteraient
